Country,Time,Value
Spain,2009-09,-1.024626
Spain,2009-10,-0.6608536
Spain,2009-11,0.3030303
Spain,2009-12,0.7944872
Spain,2010-01,1.028365
Spain,2010-02,0.8336264
Spain,2010-03,1.415194
Spain,2010-04,1.504683
Spain,2010-05,1.764965
Spain,2010-06,1.499758
Spain,2010-07,1.915597
Spain,2010-08,1.817253
Spain,2010-09,2.128625
Spain,2010-10,2.33184
Spain,2010-11,2.333061
Spain,2010-12,2.987441
Spain,2011-01,3.269574
Spain,2011-02,3.589493
Spain,2011-03,3.595379
Spain,2011-04,3.779037
Spain,2011-05,3.515429
Spain,2011-06,3.184967
Spain,2011-07,3.093043
Spain,2011-08,2.961021
Spain,2011-09,3.141194
Spain,2011-10,3.013442
Spain,2011-11,2.87257
Spain,2011-12,2.377526
Spain,2012-01,1.998314
Spain,2012-02,1.974452
Spain,2012-03,1.898523
Spain,2012-04,2.060063
Spain,2012-05,1.942955
Spain,2012-06,1.89609
Spain,2012-07,2.206681
Spain,2012-08,2.654475
Spain,2012-09,3.41214
Spain,2012-10,3.475288
Spain,2012-11,2.929847
Spain,2012-12,2.86829
Spain,2013-01,2.683107
Spain,2013-02,2.754081
Spain,2013-03,2.427344
Spain,2013-04,1.385549
Spain,2013-05,1.722351
Spain,2013-06,2.063116
Spain,2013-07,1.774076
Spain,2013-08,1.519367
Spain,2013-09,0.3417014
Spain,2013-10,-0.09952883
Spain,2013-11,0.2321686
Spain,2013-12,0.2521347
Spain,2014-01,0.1985234
Spain,2014-02,-0.01713998
Spain,2014-03,-0.1462456
Spain,2014-04,0.366912
Spain,2014-05,0.2059426
Spain,2014-06,0.08585966
Spain,2014-07,-0.3409587
Spain,2014-08,-0.4928568
Spain,2014-09,-0.1543062
Spain,2014-10,-0.09538849
Spain,2014-11,-0.3723016
Spain,2014-12,-1.041931
Spain,2015-01,-1.319439
Spain,2015-02,-1.073575
Spain,2015-03,-0.66388
Spain,2015-04,-0.6347154
Spain,2015-05,-0.1832724
Spain,2015-06,0.05613158
Spain,2015-07,0.06842504
Spain,2015-08,-0.4216437
Spain,2015-09,-0.879306
Spain,2015-10,-0.7065488
Spain,2015-11,-0.2738999
Spain,2015-12,0.01815347
Spain,2016-01,-0.2876027
Spain,2016-02,-0.8437036
Spain,2016-03,-0.840508
Spain,2016-04,-1.054663
Spain,2016-05,-0.9870306
Spain,2016-06,-0.7949277
